num,list,cond,lang,type,sound_dir,phr,sent_code,mat,mat_num,emb_num,emb,cut,mat_f0_c,left,right,correct_img,correct_key,exp_num,image,image_alt,left_img,right_img,image_dir,cs,exp1_retrial.thisRepN,exp1_retrial.thisTrialN,exp1_retrial.thisN,exp1_retrial.thisIndex,exp1_trial_loop.thisRepN,exp1_trial_loop.thisTrialN,exp1_trial_loop.thisN,exp1_trial_loop.thisIndex,exp1_loop.thisRepN,exp1_loop.thisTrialN,exp1_loop.thisN,exp1_loop.thisIndex,exp2_retrial.thisRepN,exp2_retrial.thisTrialN,exp2_retrial.thisN,exp2_retrial.thisIndex,exp2_trial_loop.thisRepN,exp2_trial_loop.thisTrialN,exp2_trial_loop.thisN,exp2_trial_loop.thisIndex,exp2_loop.thisRepN,exp2_loop.thisTrialN,exp2_loop.thisN,exp2_loop.thisIndex,exp1_trial_cross.started,exp1_trial_key.started,exp1_trial_cross.stopped,exp1_trial_sound.started,exp1_trial_key.stopped,exp1_trial_key.keys,exp1_cross.started,exp1_key.started,exp1_key.keys,exp1_key.rt,exp1_cross.stopped,exp1_sound.started,exp1_key.stopped,exp2_trial_cross.started,exp2_trial_key.started,exp2_trial_cross.stopped,exp2_trial_sound.started,exp2_trial_key.stopped,exp2_trial_key.keys,exp2_trial_key.rt,exp2_cross.started,exp2_key.started,exp2_cross.stopped,exp2_sound.started,exp2_key.stopped,exp2_key.keys,exp2_key.rt,participant,session,date,expName,psychopyVersion,frameRate,
tr1,lt,tr,en,na,../practice_trial/audio/tr1.wav,Where are your kids?,lt_tr_en_na_tr1,-,-,-,-,-,-,../image/kids.png,../image/plates.png,kids,lshift,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,75.49786283401772,75.65457245905418,75.73517779202666,76.4135716256608,80.68238066707272,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr2,lt,tr,en,na,../practice_trial/audio/tr2.wav,Who is buying my car?,lt_tr_en_na_tr2,-,-,-,-,-,-,../image/bag.png,../image/car.png,car,rshift,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,80.68238066707272,80.90248712501489,80.9231980839977,81.66342541674773,85.93103616707958,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr3,lt,tr,sp,na,../practice_trial/audio/tr3.wav,¿Dónde está mi perro?,lt_tr_sp_na_tr3,-,-,-,-,-,-,../image/dog.png,../image/grandma.png,dog,lshift,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,85.93103616707958,86.14696458401158,86.17016908398364,86.91483341675873,91.16960654209834,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr4,lt,tr,sp,na,../practice_trial/audio/tr4.wav,¿De quién es la bolsa?,lt_tr_sp_na_tr4,-,-,-,-,-,-,../image/shirt.png,../image/bag.png,bag,rshift,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,91.16960654209834,91.40459045907483,91.41447558405343,92.16449725075314,96.43191637506243,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr5,lt,tr,se,na,../practice_trial/audio/tr5.wav,¿Dónde encontraste sus donuts?,lt_tr_se_na_tr5,-,-,-,-,-,-,../image/donut.png,../image/cups.png,donut,lshift,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,96.43191637506243,96.6542944170069,96.67088554205839,97.40485008369821,101.68073750007898,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr6,lt,tr,se,na,../practice_trial/audio/tr6.wav,¿Cuándo compraste tu sweater?,lt_tr_se_na_tr6,-,-,-,-,-,-,../image/chair.png,../image/sweater.png,sweater,rshift,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,101.68073750007898,101.90193733398337,101.92962120904122,102.66403100075355,106.93096762499772,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr7,lt,tr,es,na,../practice_trial/audio/tr7.wav,Why do you have my camisa?,lt_tr_es_na_tr7,-,-,-,-,-,-,../image/shirt.png,../image/wallet.png,shirt,lshift,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,106.93096762499772,107.1536460419884,107.17116662499029,107.91394929174955,112.18064720905386,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
tr8,lt,tr,es,na,../practice_trial/audio/tr8.wav,Where did you find his chanclas?,lt_tr_es_na_tr8,-,-,-,-,-,-,../image/key.png,../image/flipflops.png,flipflops,rshift,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,112.18064720905386,112.40404283406679,112.43096812500153,113.16302358365307,117.39796025003307,None,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
126.0,l2,f,sp,na,../audio/126.wav,,l2_f_sp_na_126,,,,,,,../image/backpack.png,../image/key.png,key,rshift,1,key,backpack,backpack,key,None,,,,,,,,,,0,0,0,30,,,,,,,,,,,,,,,,,,,160.00835875002667,160.04654958401807,['lshift'],[-2.931696917046793],,,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
125,l2,f,sp,na,../audio/125.wav,,l2_f_sp_na_125,,,,,,,../image/desk.png,../image/bottle.png,desk,lshift,1,desk,bottle,desk,bottle,None,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,160.07027324999217,160.28581850009505,['lshift'],[2.5094355000182986],160.31799620902166,161.04749745870166,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
127.0,l2,f,sp,na,../audio/127.wav,,l2_f_sp_na_127,,,,,,,../image/cat.png,../image/dog.png,cat,lshift,1,cat,dog,cat,dog,None,,,,,,,,,,0,2,2,31,,,,,,,,,,,,,,,,,,,162.84024341707118,163.04727816709783,None,,163.0880315840477,163.80347079172887,168.07883279200178,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
102.0,l2,f,en,na,../audio/102.wav,,l2_f_en_na_102,,,,,,,../image/socks.png,../image/book.png,books,rshift,1,books,socks,socks,book,None,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,168.07883279200178,168.2960028339876,['rshift'],[2.0354931249748915],168.31947358406615,169.05240637570776,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
112.0,l2,f,se,na,../audio/112.wav,,l2_f_se_na_112,,,,,,,../image/burger.png,../image/hotdog.png,hotdog,rshift,1,hotdog,burger,burger,hotdog,None,,,,,,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,170.38730649999343,170.58740845904686,['rshift'],[2.1795047080377117],170.6302206669934,171.3473457917028,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
27.0,l2,t,es,na,../audio/027.wav,,l2_t_es_na_027,,,,,,,../image/shirt.png,../image/book.png,shirt,lshift,1,shirt,book,shirt,book,None,,,,,,,,,,0,5,5,41,,,,,,,,,,,,,,,,,,,172.81198445905466,173.02077854203526,['lshift'],[1.9469360000221059],173.0537967090495,173.7710292917366,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
147.0,l2,t,es,f0u,../audio/147.wav,,l2_t_es_f0u_147,,,,,,,../image/truck.png,../image/book.png,truck,lshift,1,truck,book,truck,book,None,,,,,,,,,,0,6,6,51,,,,,,,,,,,,,,,,,,,175.01641137502156,175.22077070898376,None,,175.26386262499727,175.98017308366641,180.25018679199275,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
106.0,l2,f,en,na,../audio/106.wav,,l2_f_en_na_106,,,,,,,../image/wallet.png,../image/computer.png,computer,rshift,1,computer,wallet,wallet,computer,None,,,,,,,,,,0,7,7,10,,,,,,,,,,,,,,,,,,,180.25018679199275,180.47043883404694,['rshift'],[2.5948536249343306],180.49721987498924,181.23014900071237,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
149.0,l2,t,es,f0u,../audio/149.wav,,l2_t_es_f0u_149,,,,,,,../image/boy.png,../image/dog.png,boy,lshift,1,boy,dog,boy,dog,None,,,,,,,,,,0,8,8,53,,,,,,,,,,,,,,,,,,,183.11615879205056,183.32131141703576,['lshift'],[2.717288749990985],183.36409704200923,184.0795169167143,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
29.0,l2,t,es,na,../audio/029.wav,,l2_t_es_na_029,,,,,,,../image/armchair.png,../image/ring.png,armchair,lshift,1,armchair,ring,armchair,ring,None,,,,,,,,,,0,9,9,43,,,,,,,,,,,,,,,,,,,186.0940972090466,186.29692612506915,None,,186.33685929200146,187.05272600072593,191.32521108409856,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
145.0,l2,t,es,f0u,../audio/145.wav,,l2_t_es_f0u_145,,,,,,,../image/bag.png,../image/flower.png,bag,lshift,1,bag,flower,bag,flower,None,,,,,,,,,,0,10,10,49,,,,,,,,,,,,,,,,,,,191.32521108409856,191.54736075003166,['lshift'],[2.04098366596736],191.5681699999841,192.30334550067008,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
97.0,l2,f,en,na,../audio/097.wav,,l2_f_en_na_097,,,,,,,../image/ring.png,../image/belt.png,ring,lshift,1,ring,belt,ring,belt,None,,,,,,,,,,0,11,11,1,,,,,,,,,,,,,,,,,,,193.6380972500192,193.8471601670608,['lshift'],[2.078482708078809],193.88486145902425,194.60391754174296,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
23.0,l2,t,es,na,../audio/023.wav,,l2_t_es_na_023,,,,,,,../image/wine.png,../image/cellphone.png,wine,lshift,1,wine,cellphone,wine,cellphone,None,,,,,,,,,,0,12,12,37,,,,,,,,,,,,,,,,,,,195.97164420899935,196.17025595903397,['lshift'],[2.211712332908064],196.2184408340836,196.93008525070425,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
98.0,l2,f,en,na,../audio/098.wav,,l2_f_en_na_098,,,,,,,../image/man.png,../image/woman.png,woman,rshift,1,woman,man,man,woman,None,,,,,,,,,,0,13,13,2,,,,,,,,,,,,,,,,,,,198.43034304201137,198.6371274170233,['rshift'],[2.034419334027916],198.66781591705512,199.39708916674525,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
108.0,l2,f,en,na,../audio/108.wav,,l2_f_en_na_108,,,,,,,../image/scarf.png,../image/socks.png,socks,rshift,1,socks,scarf,scarf,socks,None,,,,,,,,,,0,14,14,12,,,,,,,,,,,,,,,,,,,200.72365558403544,200.92025954206474,['rshift'],[3.883776000002399],200.97006012499332,201.6804639166842,,,,,,,,,,,,,,,,028,001,2023-05-05_15h19.23.523,exp_g2,2022.2.5,None,
